id,memberId,bossName,seasonId,bossId,assignedAt,unassignedAt,createdAt,updatedAt,attackNumber,role,guard1Number,guard2Number,performance
1,90014,Orfeu,1,1,2024-12-31 00:00:00,,20251231052314,20260126182140,1,guards,,,
2,30004,Orfeu,1,1,2024-12-31 00:00:00,,20251231052314,20260126182140,1,guards,,,
3,2,Orfeu,1,1,2024-12-31 00:00:00,,20251231052314,20260126182140,1,guards,,,
4,30012,Orfeu,1,1,2024-12-31 00:00:00,,20251231052408,20260126182140,1,guards,,,
5,30005,Orfeu,1,1,2024-12-31 00:00:00,,20251231052408,20260126182140,1,guards,,,
6,30006,Orfeu,1,1,2024-12-31 00:00:00,,20251231052408,20260126182140,1,guards,,,
7,90003,Orfeu,1,1,2024-12-31 00:00:00,,20251231052419,20260126182140,1,guards,,,
8,90008,Orfeu,1,1,2024-12-31 00:00:00,,20251231052440,20260126182140,1,guards,,,
9,30003,Orfeu,1,1,2024-12-31 00:00:00,,20251231052456,20260126182140,1,guards,,,
10,30015,Orfeu,1,1,2024-12-31 00:00:00,,20251231052509,20260126182140,1,guards,,,
11,1,Orfeu,1,1,2024-12-31 00:00:00,,20251231052520,20260126182140,1,guards,,,
12,30016,Orfeu,1,1,2024-12-31 00:00:00,,20251231052539,20260126182140,1,guards,,,
13,60001,Orfeu,1,1,2024-12-31 00:00:00,,20251231052553,20260126182140,1,guards,,,
14,30001,Orfeu,1,1,2024-12-31 00:00:00,,20251231052711,20260126182140,1,guards,,,
15,90010,Orfeu,1,1,2024-12-31 00:00:00,,20251231052711,20260226162536,1,guards,1,,
16,30008,Orfeu,1,1,2024-12-31 00:00:00,,20251231052711,20260126182140,1,guards,,,
17,30013,Orfeu,1,1,2024-12-31 00:00:00,,20251231052711,20260126182140,1,guards,,,
18,30018,Orfeu,1,1,2024-12-31 00:00:00,,20251231052711,20260126182140,1,guards,,,
19,90018,Orfeu,1,1,2024-12-31 00:00:00,,20251231052742,20260126182140,1,guards,,,
20,90017,Orfeu,1,1,2024-12-31 00:00:00,,20251231052742,20260126182140,1,guards,,,
21,90002,Orfeu,1,1,2024-12-31 00:00:00,,20251231052808,20260126182140,1,guards,,,
22,60002,Orfeu,1,1,2024-12-31 00:00:00,,20251231052822,20260126182140,1,guards,,,
23,90004,Orfeu,1,1,2024-12-31 00:00:00,,20251231052950,20260126182140,1,guards,,,
24,30010,Orfeu,1,1,2024-12-31 00:00:00,,20251231052950,20260126182140,1,guards,,,
25,90013,Orfeu,1,1,2024-12-31 00:00:00,,20251231052950,20260126182140,1,guards,,,
26,90016,Orfeu,1,1,2024-12-31 00:00:00,,20251231053010,20260126182140,1,guards,,,
27,90006,Orfeu,1,1,2024-12-31 00:00:00,,20251231053023,20260126182140,1,guards,,,
28,90007,Orfeu,1,1,2024-12-31 00:00:00,,20251231053100,20260126182140,1,guards,,,
29,90001,Orfeu,1,1,2024-12-31 00:00:00,,20251231053135,20260126182140,1,guards,,,
30,30002,Orfeu,1,1,2024-12-31 00:00:00,,20251231053154,20260126182140,1,guards,,,
31,90012,Orfeu,1,1,2024-12-31 00:00:00,,20251231053204,20260126182140,1,guards,,,
32,90015,Orfeu,1,1,2024-12-31 00:00:00,,20251231053231,20260126182140,1,guards,,,
33,90005,Orfeu,1,1,2024-12-31 00:00:00,,20251231053251,20260126182140,1,guards,,,
34,150001,Orfeu,1,1,2024-12-31 00:00:00,,20251231053302,20260126182140,1,guards,,,
35,30017,Orfeu,1,1,2024-12-31 00:00:00,,20251231053315,20260126182140,1,guards,,,
36,150002,Orfeu,1,1,2024-12-31 00:00:00,,20251231054222,20260126182140,1,guards,,,
37,90022,Orfeu,1,1,2024-12-31 00:00:00,,20251231054255,20260126182140,1,guards,,,
38,90009,Orfeu,1,1,2024-12-31 00:00:00,,20251231054456,20260126182140,1,guards,,,
39,30007,Orfeu,1,1,2024-12-31 00:00:00,,20251231054456,20260126182140,1,guards,,,
40,30014,Orfeu,1,1,2024-12-31 00:00:00,,20251231054456,20260126182140,1,guards,,,
41,30009,Orfeu,1,1,2024-12-31 00:00:00,,20251231054456,20260126182140,1,guards,,,
30001,90010,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30002,30015,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30003,150001,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30004,30009,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30005,90009,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30006,90001,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30007,30017,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30008,90015,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30009,90018,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30010,30008,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30011,90012,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30012,90007,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30013,30002,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30014,90006,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30015,90003,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30016,90005,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30017,30013,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30018,30001,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30019,150002,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30020,90016,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30021,90017,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30022,30003,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30023,60002,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30024,30016,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30025,90002,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30026,90004,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30027,90013,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30028,60001,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30029,2,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30030,90022,Orfeu,1,1,2024-12-31 00:00:00,,20251231132515,20260126182140,1,guards,,,
30031,30004,Orfeu,1,1,2024-12-31 00:00:00,,20251231141006,20260126182140,1,guards,,,
30032,90014,Orfeu,1,1,2024-12-31 00:00:00,,20251231141006,20260126182140,1,guards,,,
30033,30005,Orfeu,1,1,2024-12-31 00:00:00,,20251231141006,20260126182140,1,guards,,,
30034,30012,Orfeu,1,1,2024-12-31 00:00:00,,20251231141006,20260126182140,1,guards,,,
30035,30006,Orfeu,1,1,2024-12-31 00:00:00,,20251231141006,20260126182140,1,guards,,,
30036,1,Orfeu,1,1,2024-12-31 00:00:00,,20251231141006,20260126182140,1,guards,,,
60001,30002,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60002,30015,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60003,150001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60004,90010,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60005,90013,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60006,90012,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60007,30017,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60008,90005,Orfeu,1,1,2024-12-31 00:00:00,,20260101153137,20260126182140,1,guards,,,
60009,30010,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60010,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60011,30016,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60012,90004,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60013,30005,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60014,90016,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60015,90006,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60016,30003,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60017,150002,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60018,90003,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60019,90018,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60020,60001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60021,90015,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60022,90001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153448,20260126182140,1,guards,,,
60023,30002,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60024,90015,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60025,60001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60026,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60027,30015,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60028,30001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60029,150001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60030,30004,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60031,2,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60032,30017,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60033,90010,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60034,90012,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60035,90022,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60036,60002,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60037,90014,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60038,30003,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60039,30016,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60040,90001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60041,90016,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60042,30013,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60043,90005,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60044,90006,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60045,30005,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60046,90007,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60047,90018,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60048,90015,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60049,90001,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60050,30017,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60051,30006,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60052,90004,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60053,30002,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60054,30013,Orfeu,1,1,2024-12-31 00:00:00,,20260101154430,20260126182140,1,guards,,,
60055,90014,Orfeu,1,1,2024-12-31 00:00:00,,20260101154430,20260126182140,1,guards,,,
60056,30010,Orfeu,1,1,2024-12-31 00:00:00,,20260101154430,20260126182140,1,guards,,,
60057,30001,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60058,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60059,90002,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60060,90018,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60061,60001,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60062,90010,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60063,90003,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60064,30012,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60065,90013,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60066,90006,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60067,1,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60068,30009,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
60069,30016,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
60070,90022,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
60071,90016,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
90001,30010,Orfeu,1,1,2024-12-31 00:00:00,,20260102025030,20260126182140,1,guards,,,
90002,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260102025030,20260126182140,1,guards,,,
90003,90008,Orfeu,1,1,2024-12-31 00:00:00,,20260102025030,20260126182140,1,guards,,,
